key,values
DESIGN,FLORAL
DESIGN,LACE
DESIGN,OTHER
DESIGN,PATTERN
DESIGN,PLAIN
DESIGN,PRINT
DESIGN,SOFT
LENGTH,KNEE
LENGTH,LITTLE
LENGTH,LONG
LENGTH,MAXI
LENGTH,MEDIUM
LENGTH,MIDI
LENGTH,MIDI LENGTH
LENGTH,MINI
LENGTH,SHORT
MATERIAL,BLEACH
MATERIAL,CLEAN
MATERIAL,COTTON
MATERIAL,FAUX
MATERIAL,KNIT
MATERIAL,NATURAL
MATERIAL,NYLON
MATERIAL,OTHER
MATERIAL,POLYESTER
MATERIAL,RAYON
MATERIAL,RUFFLED
MATERIAL,SATIN
MATERIAL,SHEER
MATERIAL,SPANDEX
MATERIAL,SYNTHETIC
MATERIAL,TBD
MATERIAL,TIERED
MATERIAL,VISCOSE
MATERIAL,WOVEN
NECKLINE,DEEP
NECKLINE,KEYHOLE
NECKLINE,REGULAR
NECKLINE,TIE
NECKLINE,V NECK
OCCASION,CASUAL
OCCASION,FORMAL
OCCASION,PARTY
OCCASION,WORK
SHAPE,A LINE
SHAPE,FITTED
SHAPE,FLARE
SHAPE,FLOWY
SHAPE,PULLOVER
SHAPE,ROUND
SHAPE,SHEATH
SHAPE,SHIFT
SHAPE,SKIRT
SHAPE,SLIP
SHAPE,STRETCH
SHAPE,TBD
SHAPE,TIGHT
SHAPE,WRAP
SLEEVE,3/4
SLEEVE,LONG
SLEEVE,MEDIUM
SLEEVE,SHORT
SLEEVE,SLEEVELESS
WEATHER,SUMMER